Select the country where your practice is located.,Where is your primary surgery location?,How many years have you been in practice post training?,Are you an ESCRS delegate?,Q_PHACO_DEFAULT,Q_PRESBYOPIA_DEFAULT,Q_ASTIGMATISM_DEFAULT,Q_REFRACTIVE_DEFAULT,Q_OCULARSURFACE_DEFAULT,Q_GLAUCOMA_DEFAULT,Q_RETINA_DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,6-10 years,Yes,Divide and conquer,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,51-99,After three medications,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Surgeon-owned clinic,11-20 years,Yes,,Extended depth of focus IOLs,Digital image registration,Wavefront-optimized,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Academic institution or non-profit,11-20 years,Yes,,Extended depth of focus IOLs,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,Over 30 years,Yes,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Topography-customized,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Hospital-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,11-25,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Extended depth of focus IOLs,,Wavefront-customized,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Surgeon-owned clinic,21-30 years,Yes,Vertical chop,Extended depth of focus IOLs,,Standard ablations,10-Jun,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,,Femtosecond intrastromal lenticule extraction ,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Hospital-owned clinic,11-20 years,Yes,,,,Wavefront-customized,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Public hospital,21-30 years,Yes,,Extended depth of focus IOLs,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,11-20 years,Yes,Stop and chop,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Over 30 years,Yes,,Extended depth of focus IOLs,,Standard ablations,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Public hospital,0-5 years,"No, and I have no plans to become a delegate",,,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Surgeon-owned clinic,6-10 years,Yes,,Trifocal IOLs,Digital image registration,Standard ablations,100 or more,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Private hospital,11-20 years,Yes,Divide and conquer,Accommodating IOLs,,Topography-customized,100 or more,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,11-20 years,Yes,,Extended depth of focus IOLs,,Topography-customized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Academic institution or non-profit,Over 30 years,Yes,,Trifocal IOLs,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Hospital-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,100 or more,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Hospital-owned clinic,Over 30 years,Yes,Divide and conquer,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,100 or more,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Hospital-owned clinic,Over 30 years,Yes,Divide and conquer,,,,11-25,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Private hospital,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Retired or do not currently perform surgery,Over 30 years,"No, and I have no plans to become a delegate",,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,Standard ablations,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Academic institution or non-profit,Over 30 years,"No, and I have no plans to become a delegate",,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Corporate-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Bifocal IOLs,Digital image registration,Other,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Public hospital,0-5 years,Yes,,,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Retired or do not currently perform surgery,0-5 years,Yes,,,,,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Academic institution or non-profit,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Public hospital,6-10 years,Yes,,,,Other,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,Ink marking at the slit lamp with no additional instruments,,100 or more,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Hospital-owned clinic,6-10 years,Yes,,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,26-50,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Academic institution or non-profit,0-5 years,"No, and I have no plans to become a delegate",Stop and chop,,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",Divide and conquer,Extended depth of focus IOLs,,,None,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Corporate-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,21-30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,100 or more,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Private hospital,Over 30 years,Yes,,,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Surgeon-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,10-Jun,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Retired or do not currently perform surgery,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Other (Please specify.) ,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,Wavefront-customized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Surgeon-owned clinic,11-20 years,Yes,Stop and chop,,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,,Other,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Topography-customized,100 or more,After first-line medication,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Surgeon-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Wavefront-optimized,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Private hospital,11-20 years,Yes,,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,Standard ablations,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Other,,,11-25,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Surgeon-owned clinic,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Public hospital,21-30 years,Yes,,Trifocal IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,26-50,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Corporate-owned clinic,21-30 years,Yes,Divide and conquer,Trifocal IOLs,,Standard ablations,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,Anatomical landmarks without preoperative marking,Standard ablations,11-25,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Academic institution or non-profit,Currently in training,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,I do not perform surgical interventions,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,Wavefront-optimized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,0-5 years,Yes,Stop and chop,,,,51-99,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Surgeon-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",Vertical chop,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Topography-customized,11-25,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Surgeon-owned clinic,11-20 years,Yes,,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Surgeon-owned clinic,6-10 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Other (Please specify.) ,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,Standard ablations,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Private hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Extended depth of focus IOLs,Digital image registration,,10-Jun,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Corporate-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,Standard ablations,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Surgeon-owned clinic,Over 30 years,Yes,Stop and chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Retired or do not currently perform surgery,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Academic institution or non-profit,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,Femtosecond intrastromal lenticule extraction ,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Private hospital,21-30 years,"No, and I have no plans to become a delegate",Horizontal chop,Bifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,10-Jun,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Public hospital,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public hospital,Currently in training,Yes,,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Public hospital,6-10 years,"No, and I have no plans to become a delegate",,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,21-30 years,Yes,,Extended depth of focus IOLs,,Standard ablations,51-99,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Hospital-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Surgeon-owned clinic,Over 30 years,Yes,,Extended depth of focus IOLs,,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Public hospital,Currently in training,Yes,Horizontal chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,0-5 years,Yes,,Trifocal IOLs,,Topography-customized,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Private hospital,6-10 years,Yes,Stop and chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,100 or more,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hospital-owned clinic,0-5 years,Yes,Divide and conquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Surgeon-owned clinic,0-5 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Other (Please specify.) ,21-30 years,Yes,,,,,10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,100 or more,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Surgeon-owned clinic,0-5 years,Yes,,Enhanced Monofocal IOLs,Digital image registration,Standard ablations,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,10-Jun,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Surgeon-owned clinic,21-30 years,Yes,Divide and conquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Public hospital,Currently in training,Yes,,,,Standard ablations,11-25,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Surgeon-owned clinic,11-20 years,Yes,Stop and chop,Extended depth of focus IOLs,,Wavefront-customized,51-99,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,5-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Public hospital,Over 30 years,Yes,,Extended depth of focus IOLs,Digital image registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Academic institution or non-profit,0-5 years,Yes,,Extended depth of focus IOLs,,Wavefront-optimized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Surgeon-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,Digital image registration,Wavefront-optimized,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",Divide and conquer,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Private hospital,Over 30 years,Yes,,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Private hospital,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Public hospital,Currently in training,Yes,,Bifocal IOLs,,,None,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,11-20 years,Yes,Divide and conquer,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,Currently in training,Yes,,,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Corporate-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Digital image registration,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surgeon-owned clinic,11-20 years,Yes,,Trifocal IOLs,Digital image registration,,51-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Hospital-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",Vertical chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,Wavefront-customized,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,11-20 years,Yes,,Trifocal IOLs,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,Extended depth of focus IOLs,,Wavefront-customized,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Surgeon-owned clinic,0-5 years,Yes,,,,,10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,Enhanced Monofocal IOLs,Ink marking at the slit lamp with no additional instruments,,11-25,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Retired or do not currently perform surgery,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Femtosecond intrastromal lenticule extraction ,100 or more,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Public hospital,Over 30 years,Yes,,Trifocal IOLs,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Surgeon-owned clinic,11-20 years,Yes,,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Other,100 or more,After first-line medication,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Private hospital,11-20 years,Yes,,Trifocal IOLs,Digital image registration,,51-99,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,Standard ablations,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,Anatomical landmarks without preoperative marking,Standard ablations,10-Jun,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Hospital-owned clinic,21-30 years,Yes,,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
